2026-01-19 21:23:18,867 | INFO | LLM | Atributos técnicos detectados: {'intent': 'consulta_stock', 'producto': 'codo', 'diametro': '1/2', 'unidad': 'pulgada', 'rosca': None, 'angulo': None, 'material': None}
2026-01-19 21:23:18,870 | INFO | AGENT | Texto de búsqueda FAISS: codo 1/2 pulgada
2026-01-19 21:23:18,872 | INFO | FAISS | Búsqueda semántica para: codo 1/2 pulgada
2026-01-19 21:23:19,084 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-01-19 21:23:19,117 | INFO | FAISS | Resultados FAISS: [{'articulo': '11110', 'descripcion': "CODO PLACA PB 15 MM 1/2''", 'distancia': 0.8171987533569336}, {'articulo': '10601', 'descripcion': 'CODO MACHO ALB PRESS 20X2,5 - 1/2"', 'distancia': 0.8197308778762817}, {'articulo': '03432', 'descripcion': 'CODO LATON MACHO 1/2" - TUERCA LOCA 1/2" NIQUEL', 'distancia': 0.8239887952804565}, {'articulo': '10600', 'descripcion': 'CODO MACHO ALB PRESS 16X2,0 - 1/2"', 'distancia': 0.8243932723999023}, {'articulo': '03433', 'descripcion': 'CODO LATON MACHO 1/2" - TUERCA LOCA 1/2"', 'distancia': 0.834502100944519}]
2026-01-19 21:23:19,119 | INFO | EXCEL | Buscando producto en Excel: 11110
2026-01-19 21:23:19,122 | INFO | EXCEL | Producto encontrado: {'articulo': '11110', 'descripcion': "CODO PLACA PB 15 MM 1/2''", 'stock': 167, 'ubicacion': '0000000000'}
2026-01-19 21:23:19,125 | INFO | EXCEL | Buscando producto en Excel: 10601
2026-01-19 21:23:19,130 | INFO | EXCEL | Producto encontrado: {'articulo': '10601', 'descripcion': 'CODO MACHO ALB PRESS 20X2,5 - 1/2"', 'stock': 16, 'ubicacion': '0000000000'}
2026-01-19 21:23:19,132 | INFO | EXCEL | Buscando producto en Excel: 03432
2026-01-19 21:23:19,133 | INFO | EXCEL | Producto encontrado: {'articulo': '03432', 'descripcion': 'CODO LATON MACHO 1/2" - TUERCA LOCA 1/2" NIQUEL', 'stock': 38, 'ubicacion': '0000000000'}
2026-01-19 21:23:19,133 | INFO | EXCEL | Buscando producto en Excel: 10600
2026-01-19 21:23:19,136 | INFO | EXCEL | Producto encontrado: {'articulo': '10600', 'descripcion': 'CODO MACHO ALB PRESS 16X2,0 - 1/2"', 'stock': 25, 'ubicacion': '0000000000'}
